Question,Answer(s),Used?,Category,Points
"Steph Cook and Kate French both won Olympic gold medals for Great Britain and Northern Ireland in which multi-sport event, components of which include fencing and show jumping? ",Modern Pentathlon,7-Jul,Sport,1
"Which Leicester City player is the lowest priced player (£5.5m at the start of the
season) to finish the season as leading fantasy points scorer, doing so in 2015/16?",Riyad Mahrez,7-Jul,Sport,1
"To two decimal places, what is the men’s 100m world record, set by Usain Bolt in 2009?
",9.58 seconds,21-Jul,Sport,1
"Tobi Amusan is the current world record holder in which women’s event, with a time of 12.12 seconds? Men do not run this event at the Olympics.",100m Hurdles,21-Jul,Sport,1
"Which legendary cricketer retired from men’s cricket in 2024, with his final test coming against the West Indies? He took the most wickets of any fast bowler in test cricket.",James Anderson,21-Jul,Sport,1
Pep Guardiola has won three UEFA Champions League titles as a manager. He won one with Manchester City and two with which football club? ,Barcelona,(replaced so can use),Sport,1
"In 2023 13-year-old Willis Gibson became the first person to complete which video game, originally released in 1989? Strictly speaking it doesn't have an end, but crashes at level 157.",Tetris,used,Sport,1
"What number connects Nadia Comaneci at the 1976 Olympics; the number of Days That Shook The World, in the title of a 1919 book by John Reed; and the value of diamond on the Mohs scale of mineral hardness?",Ten,,Sport,1
"Until it was beaten by Cristiano Ronaldo in 2021, the record for most goals in senior men’s international football was held by Ali Daei, a player from which country?",Iran,,Sport,1
"Which Manchester United midfielder, a Portuguese international, finished the
2010/11 season as top fantasy scorer on just 198 points, the lowest leading points
total to date?",Nani,,Sport,1
Most viewed youtube video,Baby Shark,Apr-24,,
Which two French clubs have won the most men’s Ligue 1 titles? ,"Paris Saint Germain, Saint-Étienne",,,
"Crvena Zvezda is the official name of which European football club, which won its only European Cup in 1991 while its country was experiencing a Civil War?",Red Star Belgrade,,,
Which four U.S. Presidents are on Mount Rushmore?,"George Washington, Abraham Lincoln, Theodore Roosevelt, Thomas Jefferson",,,
"Inscribed into the Civil Rights Memorial in Alabama, “we will not be satisfied until justice rolls down like water and righteousness like a mighty stream” is a quote from which civil rights leader? ",Martin Luther King,,,
What is the geographically southernmost station on the London Underground network? It is the south terminus of (ironically) the Northern line. ,Morden,,Geography,
"Which penguins, which have a northern and southern species, get their common name from the fact that they don't usually slide on their belly, but do something else instead? ",Rockhopper penguins,,Nature,
"Considered the oldest printed book, the Diamond Sutra is one of the most influential Mahayana sutras in which religion? ",Buddhism,,Religion,
"Eleanor of Provence in the 13th century was the only woman to exercise the functions of Lord Chancellor, until which politician was appointed to the office in 2016? This woman would go on to become Prime Minister in 2022. ",Liz Truss,,Politics,
Wadi-us-salaam is in the city of Najaf and is the world’s largest cemetery with more than six million people buried there. Which country in the Middle East is it located in? The cemetery saw heavy fighting in 2004. ,Iraq,,History,
Which country has the most time zones in the world (including overseas territories)? This country's territories include places such as New Caledonia and Mayotte. ,France,,Geography,
The 1920 science fiction play R.U.R. by the Czech writer Karel ?apek introduced which word into English? The play begins in a factory that makes artificial workers from synthetic organic matter.,Robot,,,
"Named after a British comedy group, what is the most commonly used programming language in the world? ",Python,,,
Which two women have won the Booker Prize twice? One won for The Blind Assassin and The Testaments and the other won for Wolf Hall and Bring Up the Bodies.  ,Margaret Atwood and Hilary Mantel ,,,
"Five different countries have won the Fifa Women’s World Cup. Name any three of them. 
","United States, Spain, Norway, Germany and Japan",,,
,,,,
,,,,
,,,,
